Id,SalePrice
1461,120992.573207
1462,158815.561172
1463,185326.412694
1464,195602.623479
1465,195247.833173
1466,172040.772891
1467,174864.585519
1468,164598.493558
1469,187255.849161
1470,122703.268819
1471,197476.790339
1472,94974.6259217
1473,95003.9056801
1474,147363.0887
1475,113417.592063
1476,371531.040893
1477,252699.21388
1478,289759.12995
1479,280219.497787
1480,499644.314886
1481,317595.769375
1482,208444.163143
1483,178671.849223
1484,164961.257789
1485,189548.719991
1486,195303.156157
1487,333581.542481
1488,234368.438829
1489,199564.660534
1490,232747.016251
1491,191612.871088
1492,93096.8052767
1493,174913.537756
1494,295941.317142
1495,288379.536656
1496,230503.151882
1497,181756.041121
1498,167975.705771
1499,160685.284529
1500,154364.664842
1501,178137.791109
1502,145483.108745
1503,293194.227832
1504,240877.856783
1505,222956.096733
1506,186397.579899
1507,252506.095124
1508,203852.618757
1509,159475.310064
1510,142874.150999
1511,152522.530386
1512,175204.489701
1513,146386.491445
1514,162322.609839
1515,197565.104139
1516,152012.236726
1517,165014.719774
1518,132219.916564
1519,215830.935184
1520,131385.854592
1521,134120.446892
1522,176626.354255
1523,112096.525089
1524,127813.97577
1525,123056.014563
1526,114275.769221
1527,105730.14652
1528,134071.108548
1529,150842.182266
1530,177513.133352
1531,105406.808827
1532,98417.1109665
1533,150134.851174
1534,128547.107495
1535,154591.135636
1536,106723.536603
1537,61748.4750955
1538,150991.684784
1539,190131.918262
1540,92035.5599186
1541,141471.124694
1542,143595.697468
1543,200739.291976
1544,83943.8955543
1545,113746.150829
1546,134949.012221
1547,138023.309607
1548,138583.755138
1549,115307.497167
1550,135460.125263
1551,110111.643876
1552,138845.660376
1553,153341.068631
1554,113958.911476
1555,168180.426606
1556,87817.1501929
1557,107794.151576
1558,100687.561791
1559,77933.4367094
1560,131989.581901
1561,131136.824495
1562,131121.718288
1563,122556.583281
1564,161096.974702
1565,148828.530492
1566,240060.573746
1567,76669.208893
1568,233942.49032
1569,135985.076538
1570,136462.959813
1571,119231.117326
1572,145355.865263
1573,244434.387467
1574,117812.052299
1575,219447.389266
1576,246135.866241
1577,187923.672793
1578,143856.775419
1579,146949.042696
1580,195193.775408
1581,152189.696075
1582,124853.855007
1583,312412.373492
1584,224570.967199
1585,139539.861117
1586,69286.7623848
1587,101890.533487
1588,148545.110496
1589,101542.702033
1590,137693.576895
1591,95274.8299035
1592,121195.780172
1593,127174.555536
1594,134324.88024
1595,105682.947801
1596,233924.910738
1597,189372.146602
1598,220187.419528
1599,168509.814482
1600,165290.607908
1601,63982.0173899
1602,115022.529607
1603,89533.3800424
1604,261421.182863
1605,241610.892437
1606,169961.143835
1607,171642.311864
1608,218605.56518
1609,185953.301603
1610,148483.597879
1611,138205.862776
1612,168156.958333
1613,165240.154468
1614,123883.166653
1615,88783.3855893
1616,74149.5968125
1617,91534.7207768
1618,125961.342338
1619,139293.212017
1620,148774.015122
1621,138551.553741
1622,139437.006256
1623,265030.144072
1624,213511.427958
1625,119966.078398
1626,164580.554789
1627,192134.100889
1628,269244.214915
1629,174994.208713
1630,343727.008361
1631,223105.524792
1632,237016.37401
1633,171120.12771
1634,183338.672369
1635,174668.31599
1636,149696.008462
1637,201924.976738
1638,183721.919332
1639,184302.06613
1640,257900.081743
1641,180758.306726
1642,232868.797462
1643,217744.76623
1644,233006.917034
1645,201316.373594
1646,155023.156528
1647,158045.557721
1648,128413.428069
1649,138691.614765
1650,111576.914531
1651,122602.193984
1652,96955.8286569
1653,97860.8142922
1654,143322.489813
1655,139468.243162
1656,142152.085232
1657,148327.622608
1658,145271.426094
1659,120690.466003
1660,151068.764452
1661,458682.79133
1662,411433.542784
1663,397679.865914
1664,510827.433059
1665,308229.452065
1666,319563.616419
1667,378327.19541
1668,348982.374738
1669,291157.391562
